epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,7895.54,0.46121,0.37316,0.91735,0.42779,0.73481,0.51921,0.48764,0.44637,0.75682,0.94028,0.00265481,0.000884938,0.00265481,0.000884938,0.00265481,0.000884938,0.00265481,0.000884938
61,8019.58,0.4421,0.37393,0.93096,0.42788,0.73549,0.51948,0.48976,0.45398,0.67739,0.95049,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
62,8155.09,0.45173,0.37984,0.92261,0.42868,0.73585,0.52939,0.49861,0.45037,0.68449,0.95311,0.00261769,0.000872563,0.00261769,0.000872563,0.00261769,0.000872563,0.00261769,0.000872563
63,8279.33,0.45642,0.39046,0.93602,0.42664,0.73424,0.5386,0.51081,0.4556,0.63365,0.95674,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
64,8413.46,0.4466,0.36499,0.91022,0.42979,0.7312,0.52516,0.50148,0.44241,0.64873,0.95659,0.00258056,0.000860188,0.00258056,0.000860188,0.00258056,0.000860188,0.00258056,0.000860188
65,8538.26,0.449,0.37193,0.89958,0.43111,0.70501,0.50407,0.48101,0.44604,0.74044,0.95001,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
66,8673.38,0.4447,0.38818,0.89754,0.42867,0.70392,0.50091,0.47575,0.44814,0.64331,0.94835,0.00254344,0.000847813,0.00254344,0.000847813,0.00254344,0.000847813,0.00254344,0.000847813
67,8798.07,0.43736,0.35013,0.9054,0.4272,0.73585,0.47881,0.45025,0.4565,0.7518,0.949,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
68,8931.82,0.4665,0.36691,0.92156,0.43179,0.73225,0.4975,0.46101,0.45908,0.77798,0.95523,0.00250631,0.000835438,0.00250631,0.000835438,0.00250631,0.000835438,0.00250631,0.000835438
69,9054.64,0.44124,0.34418,0.89957,0.42432,0.73585,0.4941,0.46305,0.45172,0.71747,0.95475,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
70,9188.73,0.43575,0.3472,0.89702,0.42454,0.67941,0.50218,0.47761,0.4435,0.702,0.95292,0.00246919,0.000823063,0.00246919,0.000823063,0.00246919,0.000823063,0.00246919,0.000823063
71,9313.45,0.44079,0.36544,0.90676,0.44067,0.65847,0.49609,0.47383,0.45006,0.77478,0.95336,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
72,9443.99,0.46783,0.38582,0.91405,0.42088,0.72228,0.5034,0.47935,0.45062,0.73393,0.96273,0.00243206,0.000810688,0.00243206,0.000810688,0.00243206,0.000810688,0.00243206,0.000810688
73,9567.12,0.43314,0.34581,0.91077,0.42686,0.72953,0.51172,0.48652,0.46255,0.79269,0.96944,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
74,9700.45,0.47665,0.36848,0.91348,0.41886,0.7034,0.51448,0.48884,0.45326,0.69979,0.96633,0.00239494,0.000798313,0.00239494,0.000798313,0.00239494,0.000798313,0.00239494,0.000798313
75,9824.67,0.41817,0.35104,0.9111,0.42549,0.72968,0.51598,0.4898,0.46112,0.74824,0.96782,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
76,9957.62,0.42844,0.36606,0.89833,0.42886,0.68585,0.49496,0.47125,0.45578,0.70028,0.96672,0.00235781,0.000785938,0.00235781,0.000785938,0.00235781,0.000785938,0.00235781,0.000785938
77,10079.6,0.4387,0.35654,0.91189,0.4303,0.67403,0.49874,0.47545,0.45647,0.65037,0.97373,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
